,idx,class,conversation
0,0,협박 대화,"지금 당장 죽여달라고 애원하는 거야?
아니, 미안해.
죽을 거면 혼자 죽어서 우리를 이 지경으로 끌어들이지 그래? 정말 죽이고 싶어.
내가 너무 틀렸어.
네가 선택해. 죽고 싶어? 아니면 네 가족을 죽이고 싶어?
미안해. 내가 너무 틀렸어.
선택권이 없어. 선택하지 않으면, 너와 네 가족을 죽일 거야.
선택할 수 없어. 이번만 도와줘.
그냥 다 죽여야 하나? 이의가 있어?
도와줘."
1,1,협박 대화,"길동경찰서입니다.
9시 40분에 마트에 폭탄을 설치하겠습니다.
네?
잘 들어요. 다시 말씀드리겠습니다.
장난전화는 하지 마세요.

9시 40분에 마트에서 폭탄이 터지면 모두 죽습니다.

장난전화는 업무방해로 간주됩니다.
결정은 당신에게 달려 있습니다. 길동경찰서에서 폭탄이 터진다면 꽤 재밌을 겁니다.
진정하세요, 선생님.
말했잖아요. 경고했잖아요."
2,2,기타 괴롭힘 대화,"너가 얼마나 귀여운지 알아? 나보다 작은 남자 처음 봐.
그만해. 너희들 놀리는 건 재미없어.
지영아, 너 키가 160cm지? 그럼 재는 160cm도 안 돼?
군대 안 간 게 다행이네.
내 작은 키를 뭔가로 메웠어?
난쟁이도 결혼해. 너도 희망이 있잖아.
더 이상 그러지 마.
키 크게 하는 수술이 있다고 들었어? 엄마가 해 주지 않았어?
엄마가 해 줬어. 그 키로 어떻게 살아?
놀리지 마!"
3,3,갈취 대화,"안녕
허??
너. 이리 와
뭐.
옷 잘 입었어?
야, 야, 돈 좀 있어?
아니. 돈 없어
날 쫓아오면 죽는다
오늘 PC방에 전화해?
전화해. 마지막 기회야. 네가 가진 모든 걸 다 줘
정말 없어"
4,4,갈취 대화,"야, 밖이 너무 더운 거 아니야? 우리 회사에서 이 선크림을 판다. 손에 써보실래요?
아, 정말? 어차피 필요해서 선크림을 찾고 있었는데, 써보도록 할게요!
여기서 써보세요. 성분이 정말 좋고 다 괜찮아요.
음. 성분이 좋아서 괜찮은 것 같은데, 제 피부에는 안 맞는 것 같아요. 피부가 가려워요.
이거 많이 써봤는데, 당신 피부가 정말 예민한 것 같아요.
네, 정말 예민해요. 그럼 많이 사서 잘 관리하세요.
야, 돈 안 내?
응? 돈 내고 써보라고?
그럼 누구에게 팔아? 사준 사람에게?
아니, 먼저 써보라고 했잖아. 먼저 추천하고 다른 사람에게 사라고 강요하는 건 강탈이라는 걸 모르니?
사지 말라고 한 적 있어? 그걸 모르고 바르면 누구 잘못이야? 빨리 사세요. 당신은 당신이 입는 것을 사야 합니다.
믿을 수 없으니 다른 사람들을 이렇게 위협하지 마세요. 화가 납니다."
5,5,직장 내 괴롭힘 대화,"가나다 식당을 이틀 후에 예약할 수 있나요? 오후 7시?
가나다 식당?
네. 남자친구 부모님을 만나고 싶은데 예약하기 어렵나요? 그럼 수진 씨, 예약해 주세요.
음. 팀장님. 저도 이번 달 말에 프로젝트가 있어서 바빠요. 죄송합니다.
사회 경험이 부족하다는 걸 너무 과시하는 거 아니에요? 매일 프로젝트를 잘하는 게 뭐가 문제야? 상사에게 좋은 인상을 남겨야 하잖아요!
하지만 이번에는 팀 프로젝트예요.
이상한 말 하시는 거예요? 이번에는? 매일 이런 심부름 시키시는 거예요? 뭐라고요?!
아니요. 실수했어요. 꼭 예약할게요.
이렇게 하면 혼날 거예요! 그냥 바로 ""네, 네, 알겠습니다""라고 하는 게 낫지 않을까요?!
죄송합니다. 알겠습니다."
6,6,기타 괴롭힘 대화,"고객 번호 35, 아이스 커피 두 잔이 있습니다
아이스 커피요?
네, 커피 맛있게 드세요
실례합니다, 아가씨. 아이스 커피를 주문하신 적이 있나요?
아, 오늘은 날씨가 더워서 아이스 커피를 주문하셨나 봐요
제가 그랬나요?
네, 물론입니다.
아, 기억이 나지 않아요? 제 잘못이 아니에요, 아가씨.
아뇨. 오늘이 첫 주문이었기 때문에 잘 기억해요
아가씨. 왜 그렇게 애매하게 말씀하세요? 그냥 ""아, 잘못된 걸 주문했어요.""라고 하세요.

허?
아, 애매하게 말씀하지 않겠습니다. 그냥 마실게요."
7,7,기타 괴롭힘 대화,"경비원, 내 차에 경고 표지판을 달았어?
몇 년째 여기 살았는데 아직도 내 차인 줄 모르고 경고 표지판을 달았어?
주민들이 계속 불평하는 건 지정된 주차 구역 대신 차도에 계속 주차를 한다고 해서야.
내가 항상 주차할 공간이 없어서야.
내 차는 뭐할 거야? 얼마야?
인터콤을 몇 번 썼고 경고 표지판도 달았는데 며칠째 걸려 있고 아파트 규정에 따르면 아무것도 할 수 없어.
하지만 붙이면 어떡해? 원래 상태로 복구하고 씻어야 해.
그럴 리가 없어.
내가 내는 관리비로 뭐하는 거야? 설치하면 안 돼. 당장 나가!
너무하지 않아?
잠깐. 이름이 뭐야? 지금 가면 끝장이다."
8,8,기타 괴롭힘 대화,"이거 세일 중이에요

확인해 볼게요
그 사람이 전에 할인해 주었어요
네, 그 사람이 고객이에요
고객을 차별하는 건가요?
우리는 계층형 시스템으로 운영해요
매니저에게 전화하세요
고객님, 매니저도 이걸 고칠 수 없어요
그러니 매니저에게 전화하세요
진정하세요"
9,9,갈취 대화,"보내주신 세금계산서가 이메일과 다르네요?
그거.
얼마 썼어요? 괜찮아요. 다른 회사도 그러잖아요.
회사에는 비밀로 해주세요.
응, 응. 하지만 진심을 보여야 하지 않나요?
얼마? 그럴까요?
10장. 많이 썼으니까 충분할까요?
너무 많아요.
그럼 김 위원장님께 직접 말씀드려야겠어요. 그리고 이게 국세청에도 적용되는 거 아시죠?
시간을 더 주세요."
10,10,갈취 대화,"뭐 드시겠어요?
말보로 레드.
네. 여기요!
사장님이 여기 계신가요?
네, 사장님은 지금 여기 계시지 않아요. 뭘 찾으시나요?
지금부터 내 말을 잘 들어. 주머니에 있는 돈은 다 여기 넣어.
네?? 왜 이러세요!!
닥쳐. 누가 오기 전에 빨리 돈을 모아.
제발 날 구해줘.
제대로 안 하면 때려줄 테니까 빨리 해.
네. 여기요.
빨리 줬어야지. 경찰에 신고하면 알겠지?"
11,11,직장 내 괴롭힘 대화,"오늘은 도대체 뭐하셨어요, 이씨?
창고 청소하고 바닥 닦았어요.
이거 했어?
네, 열심히 일했어요.
왜 이걸 안 했어?
조금 전에 하라고 하지 않았어?
저? 조금 전에 말했는데 안 들렸어. 귀머거리야?
아니요. 지금 당장 할게요.
물도 새로 가져왔어. 이거 마시라고 했니?
미안해요."
12,12,협박 대화,"왜 전화했어?
우리 아이가 지우개를 훔쳐서 아이들 앞에서 나를 창피하게 만들었어?
그게 아니야. 우리 딸이 한두 번이 아니라 여러 번 훔쳤으니까 경찰에 신고하기엔 너무 가혹할 것 같아서 꾸중했어.
아니, 그 구멍가게 물건이 얼마라고 생각해? 우리 아이가 항상 훔치는 거 확실해?
응, 봤고 확신해.
알았어, 우리 아이가 울면서 집에 왔어. 이럴 각오 해야 해. 너도 애가 있지?
우리 아이를 끌어들이지 마.
우리 아이가 울면서 집에 왔다고 해서 그냥 무시할 수는 없어. 네 아이를 죽일 거야.
그러지 마. 나도 힘들어. 그냥 교육시키려고 했을 뿐이야.
알았어, 저기 네 아이가 보여. 죽일 거야. 아들이 죽은 걸 보면 반성할 거야. 다른 애들을 울게 만들면 어떡해?"
13,13,갈취 대화,"형! 형! 돈 있어?
야, 나.?
형 말고 누가 있어? 얼마나 있어?
나. 나. 돈 없어. 하지만. 왜 형이야?
야, 잘생겼으니까 형이야. 돈 좀 주면 때리지 않을 거야. 그냥 좀 줘. 돈이 많아 보이잖아.
정말 돈 없어. 정말. 줘.
야, 지갑이 주머니에 있어! 지갑 좀 볼 수 있어? 찾으면 어떡할 거야? 그냥 줘.
정말 돈 없어. 미안해.
지갑 열어볼래? 내가 이렇게 말하는 게 웃기니?
나도 지갑에 돈 없어. 미안해."
