,idx,class,conversation
0,0,협박 대화,지금너스스로를애원하는것인가?아닙니다.죄송합니다.죽을거면죽지우리까지사건에해?죽여버리고싶게.정말잘못했습니다.너가선택해.너가죽을래네가족을죽여줄까.죄송합니다.정말잘못했습니다.너에게는선택권이없어.못한다면가족까지모조리죽여버릴거야.선택못하겠습니다.한번만도와주세요.그냥다없지?제발도와주세요.
1,1,협박 대화,길동경찰서입니다.9시40분마트에폭발물을설치할거다.네?똑바로들어한번만더얘기한다.장난전화걸지마시죠.40분마트에폭발물이터지면다죽는거야.장난전화는업무방해죄에판단은너에게길동경찰서에도꽤나재미있겠지.선생님진정하세요.난경고했다는말이야.
2,2,기타 괴롭힘 대화,너되게귀여운거알지?나보다작은남자는첨봤어.그만해.니들놀리는거재미없어.지영아너가키재는160도안돼는거네?너군대도안가고좋겠다.니들이나보태준거난쟁이들도장가가고하던데.너도희망을가져봐더이상하지마라.그키크는니네엄마는그거나람해줬어.저키로어찌살아.제발그만괴롭히라고!
3,3,갈취 대화,어이거기예??너너.이리오라고무슨일.너옷좋아보인다?얘좀있나봐아니에요.돈없어요뒤져서나오면넌죽는다콜?콜.마지막있는거다내놔정말없어요
4,4,갈취 대화,저기요혹시날이너무뜨겁잖아요?저희회사에서이선크림파는데한번손등에발라보실래요?아진짜요?안그래도선크림중인데한번발라볼게요!여기한번진짜성분도좋고다좋아요.음.성분이좋다고하셔서좋은거같기는한데제피부에맞지않나봐요.피부가따끔거리네요.이번에진짜열심히연구해서피부가많이예민하신가봐요.네많이그럼많이아니돈안내요?네?발라보는것도하나요?그럼팔아요?당신이바른거를?아니먼저발라보시라고하셨잖아요.먼저권유해놓고사라고강매하는거갈취인거몰라요?내가안사도된다고한적있어?그것도모르고바른걸누구탓하나?빨리사당신이바른거당신이사야지진짜어이가없어서사람들한텐이렇게갈취하지마세요.화딱지나네
5,5,직장 내 괴롭힘 대화,나이틀뒤에가나다음식점예약좀해줘.저녁7시로.가나다음식점이요.?응.부모님한테인사드리려는데거기가예약이좀힘들어?그러니까수진씨가좀해줘.저.팀장님.저도월말프로젝트로정신없어서.죄송하지만.사회생활해본티를너무내는거아니야?프로젝트만백날잘하면뭐해?윗잘해야지!하지만팀프로젝트라서말참이상하게하네?이번엔?내가뭐매일같이이런심부름이나시킨다는거야?뭐야?!아닙니다.제가말실수했습니다.말씀하신꼭해두겠습니다.이러면하고도욕먹는거야!네네알겠습니다하면좀좋아?!죄송합니다.
6,6,기타 괴롭힘 대화,35번손님아이스커피두잔나왔습니다네저기요아가씨나는아아스시킨적이없는데?아분명오늘날이더우시다고아이스로시키셨는데요내가그랫어?아그런기억이없는데?아가씨가잘못안거아니야?아니요.손님이첫주문이라확실히기억하고있습니다아가씨.왜이렇게유도리가없이그냥아제가잘못주문하면.네?.어휴없어마실게
7,7,기타 괴롭힘 대화,경비아저씨내차에경고장붙였어요?내가여기내차인줄모르고이딴식으로붙여?주차자리가아닌통로에계속입주민들항의가계속들어옵니다.내가항상자리가없으니까그렇지.내차이거어떻게얼마짜린줄알아?수차례드렸고경고장을올렸으나몇일째인지라아파트규약에맞춰어쩔수그렇다고본드로붙이면어떻게?당장이거깨끗히원상복구시키고세차해와그럴수는없습니다.내가낸관리비로주제에뭐라는거야?안붙혔으면되잖아.나지금거기말씀이과하신거아닙니까?딱기다려요이름뭐죠?나지금가면당신이제
8,8,기타 괴롭힘 대화,이거할인된다면서요확인해보겠습니다아까저시람은할인해주던데네저손님은고객님이십니다고객을차별하는거에요?저희는등급제로운영돼서그런겁니다점장불러오세요손님이건점장님도해결해주시지그니까점장불러와진정을좀
9,9,갈취 대화,자네보내준거메일이랑수치가다르던데?그게.해먹었어?다른업체들도다그래.회사에는비밀로해주십시오.그래그래.어느정도.생각하시죠?10장.네가많이도해먹었는데되겠지?그건너무많습니다.그럼김사장한테직접말하는수밖에없지.그리고건은국세청에도걸리는거알지?좀더기한을
10,10,갈취 대화,네뭐레드네.여기요!여기사장은없어?네사장님지금안계세요..찾으세요?지금부터말잘들어.여기주머니에있는돈다담아.네??왜이러세요!!입닥쳐.빨리사람주세요제발제대로안하면패버릴거니까빨리빨리네.여기요.진작이렇게빨리줄것이지.경찰알지?
11,11,직장 내 괴롭힘 대화,이대리오늘도대체뭘한거야?창고정리도바닥도청소했습니다이게한거니?네열심히했습니다이건복사안해놨니?아까하라고안하셨는데요내가?아까말했는데너가귀이니?아닙니다.지금당장하겠습니다물도새로받아와이걸한거니?
